stop_id,stop_name,stop_lat,stop_lon
ALKH_002,Al Khamstlaf Stop 2,31.266651,32.272233
ALKH_003,Al Khamstlaf Stop 3,31.267334,32.270288
ALKH_004,Al Khamstlaf Stop 4,31.266326,32.269026
ALKH_005,Al Khamstlaf Stop 5,31.267436,32.268045
ALKH_006,Al Khamstlaf Stop 6,31.269101,32.268840
ALKH_007,Al Khamstlaf Stop 7,31.270680,32.269672
ALKH_008,Al Khamstlaf Stop 8,31.269846,32.271535
ALKH_009,Al Khamstlaf Stop 9,31.268949,32.273357
ALKH_010,Al Khamstlaf Stop 10,31.268103,32.275213
ALKH_011,Al Khamstlaf Stop 11,31.268153,32.276827
ALKH_012,Al Khamstlaf Stop 12,31.269844,32.277494
ALKH_013,Al Khamstlaf Stop 13,31.271557,32.278137
ALKH_014,Al Khamstlaf Stop 14,31.273273,32.278765
ALKH_015,Al Khamstlaf Stop 15,31.273133,32.280545
ALKH_016,Al Khamstlaf Stop 16,31.272593,32.282552
ALKH_017,Al Khamstlaf Stop 17,31.272044,32.284556
ALKH_018,Al Khamstlaf Stop 18,31.271521,32.286570
ALKH_019,Al Khamstlaf Stop 19,31.270985,32.288578
ALKH_020,Al Khamstlaf Stop 20,31.270216,32.290465
ALKH_021,Al Khamstlaf Stop 21,31.269221,32.292216
ALKH_022,Al Khamstlaf Stop 22,31.268272,32.294000
ALKH_023,Al Khamstlaf Stop 23,31.267264,32.295743
ALKH_024,Al Khamstlaf Stop 24,31.266294,32.297515
ALKH_025,Al Khamstlaf Stop 25,31.265316,32.299280
ALKH_026,Al Khamstlaf Stop 26,31.264334,32.301043
ALKH_027,Al Khamstlaf Stop 27,31.263351,32.302806
ALKH_028,Al Khamstlaf Stop 28,31.262375,32.304573
ALKH_029,Al Khamstlaf Stop 29,31.261391,32.306334
ALKH_030,Al Khamstlaf Stop 30,31.261329,32.307240
ALKH_031,Al Khamstlaf Stop 31,31.262839,32.308383
ALKH_032,Al Khamstlaf Stop 32,31.262194,32.310287
ALKH_033,Al Khamstlaf Stop 33,31.262793,32.311749
ALKH_034,Al Khamstlaf Stop 34,31.264309,32.312881
ALKH_035,Al Khamstlaf Stop 35,31.265827,32.314010
ALKH_036,Al Khamstlaf Stop 36,31.267043,32.313631
ALKH_037,Al Khamstlaf Stop 37,31.267387,32.311567
ALKH_038,Al Khamstlaf Stop 38,31.267742,32.309504
ALKH_039,Al Khamstlaf Stop 39,31.268093,32.307440
ALKH_040,Al Khamstlaf Stop 40,31.268396,32.305366
ALKH_041,Al Khamstlaf Stop 41,31.268754,32.303304
ALKH_042,Al Khamstlaf Stop 42,31.269132,32.301247
ALKH_043,Al Khamstlaf Stop 43,31.269486,32.299184
ALKH_044,Al Khamstlaf Stop 44,31.269856,32.297125
ALKH_045,Al Khamstlaf Stop 45,31.270212,32.295062
ALKH_046,Al Khamstlaf Stop 46,31.270538,32.292994
ALKH_047,Al Khamstlaf Stop 47,31.270678,32.290896
ALKH_048,Al Khamstlaf Stop 48,31.271063,32.288847
ALKH_049,Al Khamstlaf Stop 49,31.271602,32.286840
ALKH_050,Al Khamstlaf Stop 50,31.272122,32.284825
ALKH_051,Al Khamstlaf Stop 51,31.272644,32.282811
ALKH_052,Al Khamstlaf Stop 52,31.273167,32.280798
ALKH_053,Al Khamstlaf Stop 53,31.273713,32.278793
ALKH_054,Al Khamstlaf Stop 54,31.274268,32.276791
ALKH_055,Al Khamstlaf Stop 55,31.274300,32.276366
ALKH_056,Al Khamstlaf Stop 56,31.273727,32.278360
ALKH_057,Al Khamstlaf Stop 57,31.272207,32.278210
ALKH_058,Al Khamstlaf Stop 58,31.270484,32.277604
ALKH_059,Al Khamstlaf Stop 59,31.268764,32.276992
ALKH_060,Al Khamstlaf Stop 60,31.268167,32.275433
ALKH_061,Al Khamstlaf Stop 61,31.268887,32.273741
ALKH_062,Al Khamstlaf Stop 62,31.267468,32.274103
ALKH_063,Al Khamstlaf Stop 63,31.267158,32.273970
ELZARE_001,El Zahour Regular Stop 1,31.263527,32.289085
